date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:57	1020/1020	---M-Z	200	added ('OK')	image/svg+xml	etag:%223fc-63613cea-141f7e;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/bg_footer_top.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/bg_footer_top.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:57	1282864/1282864	---M--	200	added ('OK')	image/png	etag:%22139330-63613d16-1420e0;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/10/IMG_0804.png	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/10/IMG_0804.png	(from https://www.papeleradelsur.com.ar/en/)
19:47:58	1139/1139	---M-Z	200	added ('OK')	image/svg+xml	etag:%22473-63613cea-141f7d;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/bg_footer_bottom.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/bg_footer_bottom.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:58	114252/114252	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:58%20GMT	https://www.papeleradelsur.com.ar/en/services/innovation-and-development/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/services/innovation-and-development/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:47:58%20GMT	https://www.papeleradelsur.com.ar/en	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en	(from https://www.papeleradelsur.com.ar/en/)
19:47:58	14511/14511	---M-Z	200	added ('OK')	image/svg+xml	etag:%2238af-63613d66-1627f7;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/logo/logo-header-mob.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/logo/logo-header-mob.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:59	118815/118815	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:58%20GMT	https://www.papeleradelsur.com.ar/en/services/customer-service/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/services/customer-service/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:59	233405/233405	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:58%20GMT	https://www.papeleradelsur.com.ar/en/product/linerind-en/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/product/linerind-en/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:59	612/612	---M-Z	200	added ('OK')	image/svg+xml	etag:%22264-63613d10-14209b;gz%22	https://www.papeleradelsur.com.ar/assets/media/2022/10/linkedin_logo_icon_170234.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/10/linkedin_logo_icon_170234.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:59	42482/42482	---M--	200	added ('OK')	image/jpeg	etag:%22a5f2-63613d14-1420cf;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/10/DNV_ISO_9001_SPA.jpg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/10/DNV_ISO_9001_SPA.jpg	(from https://www.papeleradelsur.com.ar/en/)
19:47:59	58445/58445	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e44d-63613d15-1420e2;gz%22	https://www.papeleradelsur.com.ar/assets/media/2022/10/FSC_LOGO_FOOTER.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/10/FSC_LOGO_FOOTER.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:59	179072/179072	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:59%20GMT	https://www.papeleradelsur.com.ar/en/circular-generation/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/circular-generation/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:48:00	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	C:/My%20Web%20Sites/empresapapelera/code.jquery.com/jquery-3.2.1.min.js	(from https://www.papeleradelsur.com.ar/en/)
19:48:00	123828/123828	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:59%20GMT	https://www.papeleradelsur.com.ar/en/circular-generation/protected-forests/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/circular-generation/protected-forests/index.html	(from https://www.papeleradelsur.com.ar/en/)
